CA ['0', '0', '0', '0', '0', '3', '0', '2']: Mean Accuracy = 25.02% ± 1.12% (Best: 27.95%)
CA ['0', '0', '0', '0', '0', '3', '0', '4']: Mean Accuracy = 25.80% ± 0.95% (Best: 27.10%)
CA ['0', '0', '0', '0', '0', '3', '0', '6']: Mean Accuracy = 24.40% ± 0.92% (Best: 25.82%)
CA ['0', '0', '0', '0', '0', '3', '0', '8']: Mean Accuracy = 24.19% ± 0.71% (Best: 25.71%)
CA ['0', '0', '0', '0', '0', '3', '5', '6']: Mean Accuracy = 29.32% ± 1.49% (Best: 31.58%)
CA ['0', '0', '0', '0', '0', '7', '0', '0']: Mean Accuracy = 24.80% ± 1.10% (Best: 26.22%)
CA ['0', '0', '0', '0', '0', '7', '0', '2']: Mean Accuracy = 25.77% ± 0.90% (Best: 26.92%)
CA ['0', '0', '0', '0', '0', '7', '0', '3']: Mean Accuracy = 24.53% ± 1.39% (Best: 27.21%)
CA ['0', '0', '0', '0', '0', '7', '0', '4']: Mean Accuracy = 24.23% ± 0.73% (Best: 25.74%)
CA ['0', '0', '0', '0', '0', '7', '0', '6']: Mean Accuracy = 25.01% ± 1.16% (Best: 28.02%)
CA ['0', '0', '0', '0', '0', '7', '0', '8']: Mean Accuracy = 24.43% ± 0.97% (Best: 25.89%)
CA ['0', '0', '0', '0', '0', '7', '5', '8']: Mean Accuracy = 29.18% ± 0.95% (Best: 30.92%)
CA ['0', '0', '0', '0', '0', '9', '0', '0']: Mean Accuracy = 26.25% ± 1.01% (Best: 27.65%)
CA ['0', '0', '0', '0', '0', '9', '0', '1']: Mean Accuracy = 25.45% ± 1.31% (Best: 28.17%)
CA ['0', '0', '0', '0', '0', '9', '0', '2']: Mean Accuracy = 25.95% ± 0.74% (Best: 27.14%)
CA ['0', '0', '0', '0', '0', '9', '0', '3']: Mean Accuracy = 26.82% ± 1.22% (Best: 28.02%)
CA ['0', '0', '0', '0', '0', '9', '0', '4']: Mean Accuracy = 26.71% ± 0.85% (Best: 28.17%)
CA ['0', '0', '0', '0', '0', '9', '0', '5']: Mean Accuracy = 26.04% ± 1.36% (Best: 28.83%)
CA ['0', '0', '0', '0', '0', '9', '0', '6']: Mean Accuracy = 26.51% ± 1.21% (Best: 28.76%)
CA ['0', '0', '0', '0', '0', '9', '0', '7']: Mean Accuracy = 25.13% ± 0.55% (Best: 26.04%)
CA ['0', '0', '0', '0', '0', '9', '0', '8']: Mean Accuracy = 25.03% ± 0.83% (Best: 26.33%)
CA ['0', '0', '0', '0', '0', '9', '5', '4']: Mean Accuracy = 28.15% ± 1.31% (Best: 30.59%)
CA ['0', '0', '0', '0', '5', '3', '0', '0']: Mean Accuracy = 28.17% ± 1.23% (Best: 30.66%)
CA ['0', '0', '0', '0', '5', '3', '0', '4']: Mean Accuracy = 28.89% ± 1.24% (Best: 30.70%)
CA ['0', '0', '0', '0', '5', '7', '0', '0']: Mean Accuracy = 29.21% ± 1.48% (Best: 31.73%)
CA ['0', '0', '0', '0', '5', '7', '0', '2']: Mean Accuracy = 27.79% ± 0.90% (Best: 29.34%)
CA ['0', '0', '0', '0', '5', '9', '0', '4']: Mean Accuracy = 28.74% ± 1.30% (Best: 30.81%)






CA ['0', '0', '0', '0', '0', '3', '5', '6']: Mean Accuracy = 29.32% ± 1.49% (Best: 31.58%)
CA ['0', '0', '0', '0', '0', '3', '5', '6']: Mean Accuracy = 29.32% ± 1.49% (Best: 31.58%)
CA ['0', '0', '0', '0', '0', '3', '5', '6']: Mean Accuracy = 31.51% ± 0.00% (Best: 31.51%)
CA ['0', '0', '0', '0', '0', '3', '5', '6']: Mean Accuracy = 31.51% ± 0.00% (Best: 31.51%)
CA ['0', '0', '0', '0', '0', '3', '5', '6']: Mean Accuracy = 31.58% ± 0.00% (Best: 31.58%)
